,mId,mCode,mName,pmCode,pmName,pmMain,pmLeng,pmDiff,pmUp,pmDown
5624,0000000001,461700101,가야산,277,기능마을구간,-,0.35,쉬움,6,4
5625,0000000001,461700101,가야산,278,운곡동구간,-,0.42,쉬움,7,5
5626,0000000001,461700101,가야산,279,앙암바위구간,-,0.51,쉬움,9,6
5627,0000000001,461700101,가야산,280,운곡동구간,-,0.39,쉬움,7,5
5628,0000000001,461700101,가야산,281,영천사구간,-,0.42,쉬움,7,5
5629,0000000001,461700101,가야산,282,운곡동구간,-,0.38,쉬움,7,5
5630,0000000001,461700101,가야산,283,앙암마을구간,-,0.4,쉬움,7,5
5631,0000000001,461700101,가야산,284,석가네구간,-,1.57,쉬움,28,19
5632,0000000001,461700101,가야산,285,동수농공단지구간,-,1.02,쉬움,19,13
5633,0000000001,461700101,가야산,286,운곡동구간,-,0.32,쉬움,6,4
5634,0000000001,461700101,가야산,287,진포동구간,-,0.81,쉬움,14,10
5635,0000000001,462300101,가야산,288,마동구간,-,1.48,쉬움,26,18
5636,0000000001,462300101,가야산,289,마동구간,-,0.83,쉬움,18,12
5637,0000000001,462300101,가야산,290,마동구간,-,0.63,쉬움,11,8
5638,0000000001,462300101,가야산,291,성황동구간,-,0.59,쉬움,10,7
5639,0000000001,462300101,가야산,292,마동구간,-,0.81,쉬움,14,10
5640,0000000001,462300101,가야산,293,-,-,0.47,쉬움,8,6
5641,0000000001,462300101,가야산,294,-,-,0.33,쉬움,6,4
5642,0000000001,462300101,가야산,295,-,-,0.56,쉬움,10,7
5643,0000000001,462300101,가야산,296,-,-,0.83,쉬움,15,10
5644,0000000001,462300101,가야산,297,중군동구간,-,0.28,쉬움,5,3
5645,0000000001,462300101,가야산,298,광영동구간,-,0.53,쉬움,9,7
5646,0000000001,462300101,가야산,299,-,-,1.04,쉬움,18,13
5647,0000000001,462300101,가야산,300,신금리구간,-,1.87,쉬움,35,25
5648,0000000001,462300101,가야산,301,마동구간,-,0.34,쉬움,6,4
5649,0000000001,462300101,가야산,302,광영동구간,-,0.43,쉬움,8,5
5650,0000000001,462300101,가야산,303,마동구간,-,0.02,쉬움,1,0
5651,0000000001,462300101,가야산,304,광영동구간,-,0.4,쉬움,7,5
5652,0000000001,462300101,가야산,305,광영동구간,-,0.24,쉬움,4,3
5653,0000000001,462300101,가야산,306,광영동구간,-,0.08,쉬움,1,1
5654,0000000001,462300101,가야산,307,마동구간,-,0.13,쉬움,2,2
5655,0000000001,462300101,가야산,308,-,-,0.23,쉬움,4,3
5656,0000000001,462300101,가야산,309,-,-,0.05,쉬움,1,1
5657,0000000001,462300101,가야산,310,-,-,0.03,쉬움,1,0
5658,0000000001,462300101,가야산,311,광영동구간,-,0.04,쉬움,1,0
5659,0000000001,462300101,가야산,312,-,-,0.88,쉬움,16,11
5660,0000000001,462300101,가야산,313,-,-,0.28,쉬움,5,3
5661,0000000001,462300101,가야산,314,-,-,0.29,쉬움,5,4
